ID,頭文字,品目名,小型家電回収対象,出し方,出し方のポイント
3015,ほ,ボビンケース(プラスチック製),,プラスチック資源,金属製のものは小さな金属類へ
3016,ほ,芳香剤容器(びん),,燃えないごみ,中身を使い切ってから。新聞紙等に包み品名を表示する。
3017,ほ,ホースリール(リール部分が金属製で30cm未満のもの),,小さな金属類,ホースは取り外して燃やすごみへ
3018,ほ,ホースリール(リール部分が金属製で30cm以上のもの),,粗大ごみ,
3019,ほ,ホイッスル,,燃やすごみ,プラスチックのみでできたものはプラスチック資源へ。金属製のものは小さな金属類へ
3020,ほ,哺乳びんの乳首,,燃やすごみ,
3021,ほ,蛍石,,燃えないごみ,
3022,ほ,保温ジャー,,粗大ごみ,30cm未満のものは小さな金属類へ
3023,ほ,保存ビン,,燃えないごみ,
3024,ほ,ボトルラック,,粗大ごみ,
3025,ほ,方位磁石,,燃やすごみ,
3026,ほ,防犯ブザー,,燃やすごみ,
3027,ほ,ボールタップ,,燃やすごみ,ボール部分が金属製の場合は小さな金属類へ
3028,ほ,ホック,,小さな金属類,
3029,ほ,防災シート,,燃やすごみ,
3030,ほ,防水シーツ、吸水シーツ,,燃やすごみ,畳んで50cm以上のものは粗大ごみへ
3031,ほ,ポリキャップ,,燃やすごみ,
3032,ほ,防草シート,,燃やすごみ,畳んで50㎝以上のものは粗大ごみへ
3033,ほ,防音材,,粗大ごみ,
3034,ほ,ホースカバー,,燃やすごみ,
3037,ほ,ホースバンド,,小さな金属類,樹脂製の物は燃やすごみ
3038,ほ,ボールハウス,,粗大ごみ,折りたたんで一番長い辺が50cm未満のものは、燃やすごみへ
3039,ほ,ポリッシャー,,小さな金属類,30cm以上のものは粗大ごみへ
3040,ほ,保温器,,粗大ごみ,
3041,ほ,防炎カバー,,燃やすごみ,
3042,ほ,保温カップ(プラスチック製),,燃やすごみ,プラスチックのみでできたものはプラスチック資源へ。金属製のものは小さな金属類へ。ガラス製のものは燃えないごみへ。
3043,ほ,ポールスタンド(金属製),,小さな金属類,30㎝以上のものは粗大ごみへ 。プラスチックのみでできたものはプラスチック資源へ
3044,ほ,ポケットコンピュータ,◎,燃やすごみ,電池・充電池は電池類へ。充電池を取り外せないものは、他の燃やすごみとは別の袋で出す。
3045,ほ,包丁とぎ(プラスチック製),,燃やすごみ,
3046,ほ,ボウリングのピン,,燃やすごみ,
3047,ほ,ポンポン,,燃やすごみ,
3048,ほ,保温シート,,燃やすごみ,
3049,ほ,放熱板,,小さな金属類,
3050,ほ,防虫剤のケース,,プラスチック資源,
3051,ほ,防水カバー,,燃やすごみ,
3052,ほ,ボウル(調理器具等・ガラス製),,燃えないごみ,
3053,ほ,ポーション(ガムシロップ等のプラスチック容器),,プラスチック資源,
3054,ほ,ホースクリップ(金属製),,小さな金属類,プラスチック製のものは燃やすごみへ
3055,ほ,保温プレート(石版・セラミック製),,燃えないごみ,
3056,ほ,保温鍋,◎,小さな金属類,プラスチック製のものは燃やすごみへ
3057,ほ,包帯どめ,,燃やすごみ,
3058,ほ,防炎クロス,,燃やすごみ,
3059,ほ,ホームロッカー,,粗大ごみ,
3060,ほ,ボディータオル,,燃やすごみ,
3061,ほ,母乳パッド,,燃やすごみ,
3062,ほ,ボトルガムの容器,,プラスチック資源,
3063,ほ,ボウケース,,粗大ごみ,
3064,ほ,ポータブル扇風機,◎,燃やすごみ,"電池・充電池は電池類へ。充電池を取り外せないものは、他の燃やすごみとは別の袋で出す。
金属製のものは小さな金属類へ。"
3065,ほ,保存食品(プラスチック製容器に入っているもの),,燃やすごみ,包装はプラスチック資源へ
3066,ほ,防カビ用のくん煙剤,,プラスチック資源,使い切って出す。内側の金属容器は小さな金属類へ
3067,ほ,干物用ざる ,,粗大ごみ,50㎝未満でプラスチックのみでできたものはプラスチック資源へ。50㎝未満でプラスチック製以外のものは燃やすごみへ
3068,ほ,ポップコーンメーカー,,燃やすごみ,50cm以上のものは粗大ごみへ
3069,ほ,干し網,,燃やすごみ,50cm以上のものは粗大ごみへ
3070,ほ,ポップコーンケース,,プラスチック資源,紙製のものは燃やすごみへ
3071,ほ,防虫剤(スプレータイプ),,プラスチック資源,
3072,ほ,盆提灯,,燃やすごみ,50cm以上のものは粗大ごみへ
3073,ほ,雪洞,,燃やすごみ,電球等があれば外して燃えないごみへ。50cm以上のものは粗大ごみへ 
3074,ほ,防毒マスク,,燃やすごみ,
3075,ほ,防犯用窓ロック(金属製),,小さな金属類,
3076,ほ,防犯用窓ロック(プラスチック製),,燃やすごみ,
3077,ほ,ホッケーのスティック,,粗大ごみ,
3079,ほ,哺乳瓶立て,,燃やすごみ,プラスチックのみでできたものはプラスチック資源へ
3080,ほ,ほ乳瓶消毒ケース・ほ乳瓶ウォーマー,,燃やすごみ,ピッチャーなどガラスのパーツは燃えないごみへ。プラスチックのみでできたものはプラスチック資源へ。
3081,ほ,ホイップクリームの缶(スプレー缶タイプ),,スプレー缶,中身を使い切って 穴はあけない。キャップはプラスチック資源へ。中身が出せなくなったものについては収集事務所に相談
3082,ほ,ボトルシップ,,燃えないごみ,
3083,ほ,本の帯,,古紙(雑誌・その他の紙）,本と一緒に出すこともできます
3084,ま,マーガリンの外箱(紙製),,古紙(雑誌・その他の紙）,折りたたんで
3085,ま,マーガリンの容器(プラスチック製),,プラスチック資源,
3086,ま,枕,,燃やすごみ,
3087,ま,マッサージ機,,粗大ごみ,50cm未満のものは燃やすごみへ(電池・充電池は電池類へ。充電池を取り外せないものは、他の燃やすごみとは別の袋で出す)
3088,ま,まな板(木製、プラスチック製),,燃やすごみ,リサイクル施設の故障原因になるため燃やすごみへ
3089,ま,マヨネーズの外包装,,プラスチック資源,
3090,ま,マヨネーズの容器(プラスチック製),,プラスチック資源,
3091,ま,万年筆,,燃やすごみ,
3092,ま,マグカップ,,燃えないごみ,プラスチックのみでできたものはプラスチック資源へ。金属製のものは小さな金属類へ
3093,ま,まくらカバー,,古布,汚れのひどいものは燃やすごみへ
3094,ま,マスク,,燃やすごみ,ごみ袋は空気を抜いて、しっかりしばって封をしてね。
3095,ま,マッサージチェアー,,粗大ごみ,
3096,ま,マッチ,,燃やすごみ,水にぬらして出す
3097,ま,窓ガラス,,粗大ごみ,50cm未満のものは燃えないごみへ
3098,ま,窓付き封筒,,古紙(雑誌・その他の紙）,窓のフィルム部分はプラスチック資源へ。フィルム部分がグラシン紙の場合はそのまま古紙へ
3099,ま,マネキン,,粗大ごみ,事業で排出するものは、事業系ごみ
3100,ま,マフラー,,古布,洗濯をして乾かしてから
3101,ま,丸いす,,粗大ごみ,金属製で30㎝未満のものは小さな金属類へ。木製で50㎝未満のものは燃やすごみへ。プラスチックのみでできたもので50cm未満のものはプラスチック資源へ
3102,ま,麻雀牌・点棒など(プラスチック製),,プラスチック資源,陶器製のものは燃えないごみへ
3104,ま,マガジンラック(金属製),,粗大ごみ,30cm未満のものは小さな金属類へ
3105,ま,マガジンラック(金属製以外),,燃やすごみ,50cm以上のものは粗大ごみへ。50cm未満でプラスチックのみのものはプラスチック資源へ
3106,ま,マットレスパッド,,燃やすごみ,畳んで50cm以上のものは粗大ごみへ
3107,ま,松葉杖,,粗大ごみ,
3108,ま,麻雀マット,,燃やすごみ,畳んで50cm以上のものは粗大ごみへ
3109,ま,マイク(金属製),◎,小さな金属類,プラスチックのみでできたのものはプラスチック資源へ。その他は燃やすごみへ
3110,ま,窓枠,,粗大ごみ,
3111,ま,マニキュアのケース(プラスチック製),,プラスチック資源,
3112,ま,マニキュアのびん,,燃えないごみ,プラスチックのみでできたフタはプラスチック資源へ
3113,ま,巻尺(金属製),,小さな金属類,
3114,ま,巻尺(プラスチック製),,燃やすごみ,プラスチックのみでできたものはプラスチック資源へ
3115,ま,マッチ箱,,燃やすごみ,
3116,ま,万力,,小さな金属類,30cm以上のものは粗大ごみへ
3117,ま,マグネットシート,,燃やすごみ,
3118,ま,マルチカバー(布製),,古布,
3119,ま,万歩計,◎,燃やすごみ,
3120,ま,マイクスタンド(金属製),,粗大ごみ,畳んで30cm未満のものは小さな金属類へ
3121,ま,孫の手,,燃やすごみ,プラスチックのみでできたものはプラスチック資源へ
3122,ま,マウスピース,,燃やすごみ,プラスチックのみでできたものはプラスチック資源へ。金属製(楽器の一部等)のものは小さな金属類へ
3123,ま,マニキュアの中身,,燃やすごみ,ぼろ布等に染み込ませて
3124,ま,薪ストーブ,,粗大ごみ,
3125,ま,万華鏡(金属製),,小さな金属類,30cm以上のものは粗大ごみへ
3126,ま,万華鏡(木製・プラスチック製),,燃やすごみ,50cm以上のものは粗大ごみへ。50cm未満でプラスチックのみのものはプラスチック資源へ
3127,ま,薪,,燃やすごみ,50cm未満にする。 50cm以上のものは粗大ごみへ 
3128,ま,まな板スタンド(金属製),,小さな金属類,30㎝以上のものは粗大ごみへ 
3129,ま,まな板スタンド(木製・プラスチック製),,燃やすごみ,プラスチックのみでできたものはプラスチック資源へ
3130,ま,枡,,燃やすごみ,プラスチックのみでできたものはプラスチック資源へ
3131,ま,マドラー,,プラスチック資源,金属製のものは小さな金属類へ、ガラス製のものは燃えないごみへ
3132,ま,マネキンヘッド,,燃やすごみ,事業で排出するものは事業系ごみ。50cm以上のものは粗大ごみへ。プラスチックのみでできたものはプラスチック資源へ。金属製は、30cm未満のものは小さな金属類 30cm以上のものは粗大ごみへ
3133,ま,マスキングテープ,,燃やすごみ,
3134,ま,窓用フィルム,,プラスチック資源,広げると５０cm以上のものは燃やすごみへ
3135,ま,マッシャー,,小さな金属類,樹脂製品は燃やすごみへ。プラスチックのみでできたものはプラスチック資源へ
3136,ま,マジックテープ,,燃やすごみ,
3137,ま,麻雀台,,粗大ごみ,
3138,ま,マイカ線,,燃やすごみ,
3139,ま,マスト,,粗大ごみ,
3140,ま,巻き簀,,燃やすごみ,プラスチックのみでできたものはプラスチック資源へ
3141,ま,マグネットバー,,燃やすごみ,
3142,ま,窓拭きワイパー,,粗大ごみ,50cm以上のものは粗大ごみへ。50cm未満でプラスチックのみのものはプラスチック資源へ。金属製で30cm未満のものは小さな金属類へ。その他は燃やすごみへ
3144,ま,まな板(ガラス製),,燃えないごみ,
3145,ま,マジックハンド,,粗大ごみ,金属製で30cm未満のものは小さな金属類へ。プラスチックのみで50cm未満のものはプラスチック資源へ
3146,ま,まゆそり,,燃やすごみ,取っ手が金属製のものは小さな金属類へ
3147,ま,マヨネーズのキャップ,,プラスチック資源,
3148,ま,まな板シート,,燃やすごみ,プラスチックのみでできたものはプラスチック資源
3149,ま,幕,,古布,
3150,ま,巻き藁,,粗大ごみ,50cm未満のものは燃やすごみへ
3151,ま,枕干し,,燃やすごみ,広げて50cm未満でプラスチックのみのものはプラスチック資源へ
3152,ま,マネークリップ(金属製),,小さな金属類,
3154,ま,マネークリップ(革製),,燃やすごみ,
3155,ま,麻雀牌ケース,,プラスチック資源,金属製のものは小さな金属類へ
3156,ま,マグネット付フック(プラスチック製),,燃やすごみ,金属製のものは小さな金属類へ
3157,ま,曲げわっぱ,,燃やすごみ,プラスチックのみでできたものはプラスチック資源へ
3158,ま,マルチクッカー(プラスチック製),◎,燃やすごみ,金属製のもの(本体・パーツ)は小さな金属類へ。分解してプラスチックのみになればプラスチック資源へ
3159,み,ミキサー(調理器具),,燃やすごみ,ガラス製の容器は燃えないごみへ。刃の部分は小さな金属類へ
3160,み,ミシン,,粗大ごみ,"金属製で30cm未満のものは小さな金属類へ プラスチック製で50㎝未満のものは燃やすごみへ "
3161,み,水枕,,燃やすごみ,金属部分は小さな金属類へ
3162,み,みりんの入っていたペットボトル,,缶・びん・ペットボトル,ペットボトルマークを確認
3163,み,みりん風調味料の入っていたペットボトル,,缶・びん・ペットボトル,ペットボトルマークを確認
3164,み,水着,,古布,洗濯をして乾かしてから ゴム製は燃やすごみへ 
3165,み,水切りかご,,粗大ごみ,金属製で30cm未満のものは小さな金属類へ。プラスチックのみで50cm未満のものはプラスチック資源へ
3166,み,水切りネット,,燃やすごみ,
3167,み,ミニカー,,燃やすごみ,金属製のものは小さな金属類へ
3168,み,ミニテーブル,,粗大ごみ,プラスチックのみで50cm未満のものはプラスチック資源へ。金属製で30cm未満のものは小さな金属類へ。
3169,み,耳かき,,燃やすごみ,プラスチックのみでできたものはプラスチック資源へ。金属製のものは小さな金属類へ
3170,み,ミックスペーパー,,古紙(雑誌・その他の紙）,
3171,み,ミサンガ,,燃やすごみ,
3172,み,耳栓,,燃やすごみ,
3173,み,ミシン台,,粗大ごみ,
3174,み,ミニ四駆,◎,燃やすごみ,電池・充電池は電池類へ。プラスチックのみでできたものはプラスチック資源へ
3175,み,水受け(立水栓用),,粗大ごみ,プラスチックのみで50cm未満のものはプラスチック資源へ。木製で50cm未満のものは燃やすごみへ。陶器製で50cm未満のものは燃えないごみへ。金属製で30cm未満のものは小さな金属類へ
3176,み,耳あて,,燃やすごみ,
3177,み,ミラーボール,,燃やすごみ,50cm以上のものは粗大ごみ
3178,み,ミラーマット,,プラスチック資源,広げると５０cm以上のものは燃やすごみへ
3179,み,ミシンケース,,プラスチック資源,50cm以上のものは粗大ごみへ。50cm未満でプラスチック以外の素材を含むものは燃やすごみへ
3180,み,味噌こし,,小さな金属類,プラスチックのみでできたものはプラスチック資源へ
3181,み,水受け皿(植木鉢),,プラスチック資源,50cm以上のものは粗大ごみへ
3182,み,水切りシート,,燃やすごみ,広げて50cm未満でプラスチックのみのものはプラスチック資源へ
3183,み,ミキサー・フードプロセッサーの刃,,小さな金属類,新聞紙等に包み、品名を表示する。
3184,み,ミラーシート,,プラスチック資源,広げると５０cm以上のものは燃やすごみへ
3185,み,水桶,,燃やすごみ,50cm以上のものは粗大ごみへ。50cm未満でプラスチックのみのものはプラスチック資源へ
3186,み,水切り台,,粗大ごみ,プラスチックのみで50cm未満のものはプラスチック資源へ。金属製で30cm未満のものは小さな金属類へ。
3187,み,水草,,燃やすごみ,
3188,む,虫眼鏡,,燃えないごみ,
3189,む,虫かご,,プラスチック資源,50cm以上のものは粗大ごみへ。木製で50cm未満のものは燃やすごみへ。ガラス製で50cm未満のものは燃えないごみへ。
3190,む,虫捕り網,,粗大ごみ,50cm未満のものは燃やすごみへ
3191,む,無停電電源装置(UPS),,販売店へ相談,収集車の火災の原因となるため、集積場所に出さないでください。
3192,む,ムートン(羊皮),,燃やすごみ,畳んで50cm以上のものは粗大ごみへ
3193,む,無線機(金属製),,粗大ごみ,30cm未満のものは小さな金属類へ
3194,む,無線機(プラスチック製),,燃やすごみ,50cm以上のものは粗大ごみへ
3195,む,虫ピン,,小さな金属類,新聞紙等に包み品名を表示する
3196,む,麦茶入れ(プラスチック製),,プラスチック資源,中身を使い切って
3197,む,蒸し器,,小さな金属類,30cm以上のものは粗大ごみへ。木製のものは燃やすごみへ。プラスチックのみでできたものはプラスチック資源へ
3198,む,無煙タバコ,,燃やすごみ,
3199,む,麦茶入れ,,燃えないごみ,プラスチック製のふたや口の部分は、プラスチック資源へ
3200,む,虫の死骸,,燃やすごみ,
3201,む,麦わら帽子,,燃やすごみ,
3202,む,虫よけ(吊り下げ型・携帯型・電気式),,燃やすごみ,電池・充電池は電池類へ。分解してプラスチックのみでできたものはプラスチック資源へ
3203,む,鞭,,燃やすごみ,
3204,む,虫よけ(液体やビーズ等が入っているタイプ),,プラスチック資源,
3205,め,名刺,,古紙(雑誌・その他の紙）,
3206,め,名刺の外箱(プラスチック製),,プラスチック資源,
3207,め,眼鏡(レンズがプラスチック製),,燃やすごみ,プラスチックのみでできたものはプラスチック資源へ
3208,め,眼鏡(レンズがガラス製),,燃えないごみ,新聞紙等に包み品名を表示する
3209,め,目薬の携帯ケース,,プラスチック資源,
3210,め,目薬の外箱(紙製),,古紙(雑誌・その他の紙）,折りたたんで
3211,め,目薬の容器(プラスチック製),,プラスチック資源,ガラス製は燃えないごみへ。金属製のフタは小さな金属類へ
3212,め,メガネケース・メガネたて,,燃やすごみ,プラスチックのみでできたものはプラスチック資源へ。金属製のものは小さな金属類へ
3213,め,メトロノーム,,燃やすごみ,電池・充電池は電池類へ。充電池を取り外せないものは、他の燃やすごみとは別の袋で出す。
3214,め,メモ帳,,古紙(雑誌・その他の紙）,
3215,め,名刺入れ(金属製),,小さな金属類,
3216,め,名刺入れ(布製・革製),,燃やすごみ,
3217,め,メガホン(プラスチック製),,プラスチック資源,
3218,め,メダル,,小さな金属類,
3219,め,綿,,燃やすごみ,
3220,め,メモリーカード,◎,燃やすごみ,
3221,め,メイクボックス(金属製),,小さな金属類,30cm以上のものは粗大ごみへ
3222,め,メイクボックス(金属製以外),,燃やすごみ,50cm以上のものは粗大ごみへ。50cm未満で金属などのプラスチック以外の素材を含むものは燃やすごみへ
3223,め,メラミン食器,,プラスチック資源,
3224,め,メラミンフォーム(スポンジ),,プラスチック資源,
3225,め,綿棒,,燃やすごみ,
3226,め,麺棒(大理石製),,燃えないごみ,50cm以上のものは粗大ごみへ
3227,め,麺棒(木製・プラスチック製),,燃やすごみ,50cm以上のものは粗大ごみへ。50cm未満でプラスチックのみのものはプラスチック資源へ
3228,め,明細書,,古紙(雑誌・その他の紙）,個人情報に注意(シュレッダーかける、該当部分を消す、穴を空けるなど)。※シュレッダーした紙も古紙へ出す
3229,め,免許証,,燃やすごみ,所管の警察署で所定の失効手続き(穴あけ)を経たもの
3230,め,めがねフレーム,,燃やすごみ,プラスチックのみでできたものはプラスチック資源へ。金属製のものは小さな金属類へ
3231,め,眼鏡拭き,,燃やすごみ,
3232,め,メモリースティック,◎,燃やすごみ,
3233,め,メッセージカード,,古紙(雑誌・その他の紙）,紙以外の装飾は外す。装飾(リボン・メロディ機器など)は燃やすごみへ。
3234,め,メディアケース,,プラスチック資源,
3235,め,メッシュハンガー,,粗大ごみ,"金属製で30㎝未満のものは小さな金属類へ "
3236,め,眼鏡立て(プラスチック製、布製等),,燃やすごみ,プラスチックのみでできたものはプラスチック資源へ。金属製のものは小さな金属類へ
3237,め,綿棒の容器,,プラスチック資源,50cm以上のものは粗大ごみへ
3238,も,毛布(ウール製・アクリル製・綿製),,古布,洗濯して乾かしてから
3241,も,物干し竿,,粗大ごみ,
3242,も,木製のかご,,燃やすごみ,50cm以上のものは粗大ごみへ
3243,も,木製品,,燃やすごみ,50cm以上のものは粗大ごみへ
3244,も,木製フェンス,,粗大ごみ,
3245,も,木炭,,燃やすごみ,
3246,も,物置(解体済みのもの),,粗大ごみ,
3247,も,物干し台,,粗大ごみ,
3248,も,門扉,,粗大ごみ,
3249,も,木工製品,,燃やすごみ,50cm以上のものは粗大ごみへ
3250,も,模造刀,,粗大ごみ,金属製で30㎝未満のものは小さな金属類へ。木製で50㎝未満のものは燃やすごみへ。プラスチックのみでできたもので50cm未満のものはプラスチック資源へ
3251,も,モーター,◎,小さな金属類,30cm以上のものは粗大ごみへ
3252,も,模型(金属製),,小さな金属類,30cm以上のものは粗大ごみへ
3253,も,模型(プラスチック製),,プラスチック資源,50cm以上のものは粗大ごみへ。50cm未満でプラスチック以外の素材を含むものは燃やすごみへ
3254,も,もちつき機(プラスチック製),,燃やすごみ,内釜は小さな金属類へ 本体が50cm以上又は内釜が30cm以上のものは粗大ごみへ
3255,も,モニターアーム,,粗大ごみ,50cm未満でプラスチックのみのものはプラスチック資源へ。金属製で30cm未満のものは小さな金属類へ。
3256,も,木馬,,燃やすごみ,50cm以上のものは粗大ごみへ
3257,も,モジュラージャック,,燃やすごみ,
3258,も,モール(手芸用),,燃やすごみ,
3259,も,木製の小物,,燃やすごみ,
3260,も,もちあみ(電子レンジ用),,プラスチック資源,
3261,も,木製の食器,,燃やすごみ,
3262,も,木台,,粗大ごみ,50cm未満の物は燃やすごみ
3263,も,もえがら,,燃やすごみ,
3264,も,モニターカバー(布製),,古布,ビニール製のものはプラスチック資源へ
3265,も,モップ絞り器(プラスチック製),,燃やすごみ,50cm以上のものは粗大ごみへ。50cm未満でプラスチックのみのものはプラスチック資源へ
3266,も,モップ絞り器(金属製),,小さな金属類,30㎝以上のものは粗大ごみへ
3267,も,木質ボード,,粗大ごみ,50cm未満のものは燃やすごみへ
3268,も,もみがら,,燃やすごみ,
3269,も,模造紙,,古紙(雑誌・その他の紙）,
3270,も,モーター(プラスチック製),◎,燃やすごみ,
3271,も,木酢液の容器,,プラスチック資源,
3272,や,やかん,,小さな金属類,30cm以上のものは粗大ごみへ
3273,や,野菜の結束用テープ,,燃やすごみ,
3274,や,野菜が入っている袋(ビニール製),,プラスチック資源,
3275,や,矢(金属製),,粗大ごみ,30cm未満のものは小さな金属類へ
3276,や,矢(木製),,燃やすごみ,50cm以上のものは粗大ごみへ
3277,や,焼き網,,小さな金属類,30cm以上のものは粗大ごみへ
3278,や,矢筒,,燃やすごみ,50cm以上のものは粗大ごみへ。50cm未満でプラスチックのみのものはプラスチック資源へ
3279,や,焼き物,,燃えないごみ,
3280,や,柳行李,,粗大ごみ,一番長い辺が50cm未満のものは、燃やすごみへ
3282,や,薬包紙,,古紙(雑誌・その他の紙）,
3283,や,野球のベース,,燃やすごみ,
3284,や,野菜の水切り器,,プラスチック資源,50cm未満でプラスチック以外の素材を含むものは燃やすごみへ
3285,や,破れた衣類・汚れた衣類,,燃やすごみ,カビや破れなどでリユースに支障を来すもの。
3286,や,薬剤付のシール,,燃やすごみ,
3287,ゆ,浴衣,,古布,洗濯して乾かしてから
3288,ゆ,湯沸器(卓上タイプを除く・自分で取り外したもののみ),,粗大ごみ,業者が取り外したものは業者に処分を依頼する
3289,ゆ,ゆりかご,,粗大ごみ,プラスチックのみで50cm未満のものはプラスチック資源へ。50cm未満でプラスチック以外の素材を含むものは燃やすごみへ
3290,ゆ,湯たんぽ(金属製),,粗大ごみ,30cm未満のものは小さな金属類へ
3291,ゆ,U字ロック,,小さな金属類,30cm以上のものは粗大ごみへ
3292,ゆ,郵便受け(金属製),,粗大ごみ,30cm未満のものは小さな金属類へ
3293,ゆ,郵便受け(木製・プラスチック製),,燃やすごみ,50cm以上のものは粗大ごみへ。50cm未満でプラスチックのみのものはプラスチック資源へ
3294,ゆ,弓,,粗大ごみ,木製・プラスチック製で50cm未満のものは燃やすごみへ。金属製で30cm未満のものは小さな金属類へ 
3295,ゆ,湯たんぽ(プラスチック製・ゴム製・ジェルタイプ),,燃やすごみ,プラスチックのみでできたものはプラスチック資源へ
3296,ゆ,指サック,,燃やすごみ,
3297,ゆ,ユニフォーム,,古布,洗濯して乾かしてから
3300,ゆ,UVライト,,燃やすごみ,電球は燃えないごみへ
3301,ゆ,油温計,,小さな金属類,
3302,ゆ,ユポ,,燃やすごみ,
3303,ゆ,湯飲み(木製),,燃やすごみ,
3304,ゆ,U字溝,,粗大ごみ,
3305,ゆ,湯かき棒,,粗大ごみ,
3306,ゆ,誘導棒,,燃やすごみ,電池・充電池は電池類へ。充電池を取り外せないものは、他の燃やすごみとは別の袋で出す。
3307,ゆ,有刺鉄線,,小さな金属類,
3308,ゆ,床材,,粗大ごみ,50cm未満のものは燃やすごみへ
3309,ゆ,指輪のケース,,燃やすごみ,プラスチックのみでできたものはプラスチック資源へ
3310,ゆ,融雪剤,,燃やすごみ,
3311,ゆ,指貫,,燃やすごみ,プラスチックのみでできたものはプラスチック資源へ
3312,よ,ヨーグルトの包装フィルム,,プラスチック資源,
3313,よ,ヨーグルトの台紙,,古紙(雑誌・その他の紙）,
3314,よ,ヨーグルトのフタ(銀紙),,燃やすごみ,
3315,よ,ヨーグルトのフタ(プラスチック製),,プラスチック資源,
3316,よ,ヨーグルトの容器(紙製),,燃やすごみ,
3317,よ,ヨーグルトの容器(プラスチック製),,プラスチック資源,ボトルタイプのもので、ペットボトルマークがついているものは、缶・びん・ペットボトルへ
3318,よ,ヨーグルトの容器(びん),,缶・びん・ペットボトル,
3319,よ,養生テープ,,燃やすごみ,
3320,よ,浴室テレビ(建物に組み込まれたもの),,燃やすごみ,50cm以上のものは粗大ごみへ
3321,よ,洋服かけ,,粗大ごみ,
3322,よ,ヨガマット,,燃やすごみ,畳んで50cm以上のものは粗大ごみへ
3323,よ,預金通帳,,古紙(雑誌・その他の紙）,
3324,よ,鎧,,粗大ごみ,
3325,よ,養生シート,,燃やすごみ,事業で排出するものは、事業系ごみ
3326,よ,ヨーヨー(プラスチック製),,プラスチック資源,プラスチックのみでできたものはプラスチック資源へ。金属製のパーツは小さな金属類へ
3327,よ,浴室用スリッパ・ブーツ,,プラスチック資源,
3328,よ,よだれかけ,,古布,洗濯して乾かしてから。汚れているものは燃やすごみへ
3329,よ,溶接機,,粗大ごみ,
3330,よ,ヨガポール,,粗大ごみ,
3331,よ,ヨーグルトメーカー,,燃やすごみ,50cm以上のものは粗大ごみへ
3332,よ,寄木細工,,燃やすごみ,50cm以上のものは粗大ごみへ
3333,よ,ヨット,,登録販売店に相談,登録販売店は、FRP船リサイクルセンターのホームページで確認できます。
3334,よ,汚れた紙(使用済みティッシュペーパー、ピザの箱など),,燃やすごみ,
3335,よ,ヨガブロック,,燃やすごみ,プラスチックのみでできたものはプラスチック資源へ
3336,ら,ライター(使い捨てガスライター),,燃やすごみ,"中身を使い切って。故障等で中身が出せないものは<a href=""https://www.city.yokohama.lg.jp/kurashi/sumai-kurashi/gomi-recycle/shokai/jimusho/jimusho.html"">収集事務所</a>に相談"
3337,ら,ラジカセ,,燃やすごみ,50cm以上のものは粗大ごみへ 金属製のものは小さな金属類、30㎝以上のものは粗大ごみへ
3338,ら,ラップ(商品を包んでいるもの),,プラスチック資源,
3339,ら,ラップ(家庭で使用するもの),,プラスチック資源,
3340,ら,ラップの箱のカッター(金属製),,小さな金属類,紙製のものは古紙へ
3341,ら,ラップの箱(カッターは取り除く),,古紙(雑誌・その他の紙）,折りたたんで
3342,ら,ラップの芯,,古紙(雑誌・その他の紙）,つぶして
3343,ら,ランドセル,,燃やすごみ,
3344,ら,ラジコン,,燃やすごみ,50cm以上のものは粗大ごみへ
3345,ら,ラッカー,,スプレー缶,中身を使い切って 穴はあけない。キャップはプラスチック資源へ。中身が出せなくなったものについては収集事務所に相談
3346,ら,ラック,,粗大ごみ,金属製で30㎝未満のものは小さな金属類へ。木製で50㎝未満のものは燃やすごみへ。プラスチックのみでできたもので50cm未満のものはプラスチック資源へ
3347,ら,ラバーカップ(すっぽん),,燃やすごみ,50cm以上のものは粗大ごみへ
3348,ら,ラベルカートリッジ,,燃やすごみ,販売店等による回収を優先的にご利用ください。プラスチックのみでできたものはプラスチック資源へ
3349,ら,ラベルライター,◎,燃やすごみ,
3350,ら,ランタン(金属製),,小さな金属類,プラスチック製のものは燃やすごみへ。ガスボンベ部分はスプレー缶へ。ガラス製のグローブ(ホヤ)部分は燃えないごみへ
3351,ら,ランタン(ガソリン式),,小さな金属類,プラスチック製のものは燃やすごみへ。ガラス製のグローブ(ホヤ)部分は燃えないゴミへ
3352,ら,ランニングシューズ,,燃やすごみ,
3353,ら,ラケットバッグ,,燃やすごみ,畳んで50cm以上のものは粗大ごみへ
3354,ら,ラケットカバー,,燃やすごみ,
3355,ら,ライダージャケット(革製),,燃やすごみ,布製(綿入りでないもの)は古布へ
3356,ら,ラバーマット,,燃やすごみ,畳んで50cm以上のものは粗大ごみへ
3357,ら,ラミネート,,プラスチック資源,使用済のものは燃やすごみへ
3358,ら,ラミネーター,,燃やすごみ,50cm以上のものは粗大ごみへ
3359,ら,ラベルはがしスプレー,,スプレー缶,中身を使い切って 穴はあけない。キャップはプラスチック資源へ。中身が出せなくなったものについては収集事務所に相談
3360,ら,ラムネの容器,,缶・びん・ペットボトル,ペットボトルマークを確認。プラマークのものはプラスチック資源へ。(ペットボトルやプラスチック製のものは、ビー玉を抜いてからお出しください)
3361,ら,ランチョンマット,,燃やすごみ,プラスチックのみでできたものはプラスチック資源へ
3362,ら,ライトボックス,,燃やすごみ,50cm以上のものは粗大ごみへ
