ID,頭文字,品目名,小型家電回収対象,出し方,出し方のポイント
1441,し,収納ボックス(布製),,燃やすごみ,50㎝を超えるものは粗大ごみ
1442,し,シェイカーボトル(プラスチック製),,プラスチック資源,プラスチックのみでできたものはプラスチック資源へ
1443,し,自転車キャリア(車用),,粗大ごみ,金属製で30cm未満のものは小さな金属類へ。プラスチックのみで50cm未満のものはプラスチック資源へ
1444,し,植物の実・種,,燃やすごみ,
1445,し,シャツオーガナイザー,,燃やすごみ,50cm以上のものは粗大ごみへ。50cm未満でプラスチックのみのものはプラスチック資源へ
1446,し,ショッパー(ビニール製),,プラスチック資源,
1447,し,ショッパー(紙製),,古紙(雑誌・その他の紙）,ビニール製などのひもは取り除く
1448,し,ショッパー(布製),,燃やすごみ,
1449,す,酢(食酢・調味酢)の入っていたペットボトル,,缶・びん・ペットボトル,ペットボトルマークを確認
1450,す,水筒(プラスチック製),,プラスチック資源,プラスチックのみ以外のものは燃やすごみへ
1451,す,水筒(金属製),,小さな金属類,プラスチックのみでできたキャップなどはプラスチック資源へ。 30cm以上のものは粗大ごみへ
1452,す,炊飯器(プラスチック製),,燃やすごみ,内釜・内蓋は小さな金属類へ。50㎝以上のものは粗大ごみへ。
1453,す,炊飯器(金属製),,小さな金属類,30cm以上のものは粗大ごみへ
1454,す,炊飯器の内釜,,小さな金属類,30cm以上のものは粗大ごみへ。炭製の物は燃えないごみへ(「炭製の内釜」と明記する)
1455,す,スーツ,,古布,汚れ等を落としてから
1456,す,スーツケース(旅行用),,粗大ごみ,50cm未満のものは燃やすごみへ
1457,す,スカーフ,,古布,洗濯して乾かしてから
1458,す,スキー・スノーボード板、ストック,,粗大ごみ,
1459,す,スキー・スノーボード用ブーツ,,燃やすごみ,
1460,す,スチール缶・アルミ缶(飲料用・食品用),,缶・びん・ペットボトル,飲料・食品用以外で30cm未満のものは小さな金属類へ。30cm以上は粗大ごみ
1461,す,ストーブ,,粗大ごみ,灯油・電池は抜く。プラスチック製で50㎝未満のものは燃やすごみへ
1462,す,ストッキング,,燃やすごみ,
1463,す,ストッキングの外包装,,プラスチック資源,
1464,す,ストッキングの中台紙(紙製),,古紙(雑誌・その他の紙）,
1465,す,ストロー,,プラスチック資源,プラスチックのみでできたのものはプラスチック資源へ。その他は燃やすごみへ
1466,す,ストローの外袋(紙製),,古紙(雑誌・その他の紙）,
1467,す,ストローの外袋(プラスチック製),,プラスチック資源,
1468,す,スニーカー,,燃やすごみ,
1469,す,スパイクシューズ,,燃やすごみ,金具部分は小さな金属類へ
1470,す,スプーン(木製・プラスチック製),,燃やすごみ,プラスチックのみでできたものはプラスチック資源へ。木製のものは燃やすごみへ
1472,す,スプーン(金属製),,小さな金属類,
1473,す,スプーンの包装(プラスチック製),,プラスチック資源,プリンなどで使用するもの
1474,す,スプリングマットレス,,粗大ごみ,
1475,す,ズボン、スラックス,,古布,洗濯して乾かしてから
1476,す,スポンジ,,プラスチック資源,
1477,す,スポンジの外包装(プラスチック製),,プラスチック資源,
1478,す,スリッパ,,燃やすごみ,
1479,す,すりばち(陶器製),,燃えないごみ,新聞紙等に包み品名を表示する。木製すりこぎは、燃やすごみへ
1480,す,水槽,,粗大ごみ,50cm未満でプラスチックのみのものはプラスチック資源へ。ガラス製は燃えないごみへ
1481,す,スエットスーツ,,古布,ゴム製・ビニール製のものは燃やすごみ
1482,す,姿見,,粗大ごみ,
1484,す,スキーウェア・スノーボードウェア,,古布,汚れ等を落としてから 綿入りのものは燃やすごみへ
1485,す,スキー用バッグ・スノーボードなどのバッグ,,燃やすごみ,折りたたんで50cm以上のものは粗大ごみへ
1486,す,スケート靴,,燃やすごみ,
1487,す,スコップ,,粗大ごみ,プラスチックのみで50cm未満のものはプラスチック資源へ。金属製で30cm未満のものは小さな金属類へ
1488,す,すずり,,燃えないごみ,
1489,す,すだれ,,粗大ごみ,畳んで50cm未満のものは燃やすごみへ。広げて50cm未満でプラスチックのみのものはプラスチック資源へ
1490,す,スチーマー(美顔器),◎,燃やすごみ,"電池・充電池は電池類へ。充電池を取り外せないものは、他の燃やすごみとは別の袋で出す。
50cm以上のものは粗大ごみへ。"
1491,す,ストーブフェンス,,粗大ごみ,
1492,す,ストラップ,,燃やすごみ,金属製のものは小さな金属類へ
1493,す,すのこ,,粗大ごみ,50cm未満のものは燃やすごみへ
1494,す,スプレー缶,,スプレー缶,中身を使い切って 穴はあけない。キャップはプラスチック資源へ。中身が出せなくなったものについては収集事務所に相談
1495,え,エアゾール式消火具,,スプレー缶,中身を使い切って 穴はあけない。キャップはプラスチック資源へ。中身が出せなくなったものについては収集事務所に相談
1496,す,ズボンプレッサー,,粗大ごみ,50cm未満のものは燃やすごみへ
1497,す,スカート,,古布,
1498,す,スケートボード,,粗大ごみ,
1499,す,スチールウール,,小さな金属類,
1500,す,登山ポール ステッキ・杖,,粗大ごみ,金属製で30㎝未満のものは小さな金属類へ 金属製以外のもので50㎝未満のものは燃やすごみへ
1501,す,ストール,,古布,
1502,す,スライサー(プラスチック製),,燃やすごみ,不要
1503,す,スリッパ立て,,粗大ごみ,"木製で50cm未満のものは燃やすごみへ。
プラスチックのみでできたもので50cm未満のものはプラスチック資源へ。
金属製で30cm未満のものは小さな金属類へ"
1504,す,砂時計(枠が金属製),,小さな金属類,
1505,す,スティックのり・液体のりの容器,,プラスチック資源,中身を使いきって
1506,す,砂時計(ガラス製 枠なし),,燃えないごみ,
1507,す,スタンプ,,燃やすごみ,金属製のものは小さな金属類へ
1508,す,ストーマパウチ,,燃やすごみ,汚物はトイレに流して
1509,す,ストロボ,,燃やすごみ,
1510,す,砂時計(枠が木製・プラスチック製),,燃やすごみ,
1511,す,スケッチブック,,古紙(雑誌・その他の紙）,金属部分は小さな金属類へ
1512,す,スーパーボール,,燃やすごみ,
1513,す,スタンプ台,,燃やすごみ,金属製のものは小さな金属類へ
1514,す,滑り台(おもちゃ),,粗大ごみ,
1516,す,スライスカッター,,粗大ごみ,プラスチック製で50cm未満のものは燃やすごみへ。金属製で30cm未満のものは小さな金属類へ 
1518,す,スライダック(金属製),,小さな金属類,30cm以上のものは粗大ごみへ
1519,す,スクリーントーン,,燃やすごみ,台紙は古紙(雑誌・その他の紙)へ、包装はプラスチック資源へ
1520,す,スチールボード,,粗大ごみ,30cm未満のものは小さな金属類へ
1521,す,鈴(金属製),,小さな金属類,木製のものは燃やすごみへ。 ガラス製・陶器製のものは燃えないごみへ。プラスチックのみでできたものはプラスチック資源へ
1522,す,寿司桶,,燃やすごみ,50cm以上のものは粗大ごみへ。50cm未満でプラスチックのみのものはプラスチック資源へ
1523,す,スタンド灰皿,,粗大ごみ,"木製で50cm未満のものは燃やすごみへ。
プラスチックのみでできたもので50cm未満のものはプラスチック資源へ。
金属製で30cm未満のものは小さな金属類へ"
1524,す,ステンドグラス,,燃えないごみ,50cm以上のものは粗大ごみへ
